    ENTRY#        PC    TARGET      PRED      BUSY
       744    426ba0    426bdc         0         1
       745    401ba4    400200         0         1
       746    403ba8    421c10         0         1
       747    402bac    400200         0         1
       748    426bb0    426bd0         0         1
       749    421bb4    421bc8         0         1
       751    406bbc    406b88         1         1
       752    421bc0    421bd0         0         1
       754    402bc8    400200         0         1
       756    403bd0    421c10         0         1
       757    426bd4    426bec         0         1
       759    404bdc    404be8         0         1
       760    420be0    420be8         0         1
       761    426be4    426b84         0         1
       762    423be8    423c98         0         1
       763    403bec    422260         0         1
       765    401bf4    401bc0         1         1
       767    426bfc    4265c4         0         1
       768    405c00    405c0c         0         1
       770    405c08    405c6c         0         1
       771    421c0c    422270         0         1
       774    419c18    419c6c         0         1
       775    420c1c    420bf0         1         1
       776    400c20    400bec         1         1
       778    405c28    405c3c         0         1
       779    400c2c    400200         0         1
       781    402c34    402c00         1         1
       782    420c38    423e7c         0         1
       784    402c40    400200         0         1
       786    405c48    405c54         0         1
       788    405c50    405c6c         0         1
       791    423c5c    4248ec         0         1
       792    400c60    400c2c         1         1
       793    423c64    423c98         0         1
       794    405c68    405c90         0         1
       795    400c6c    400200         0         1
       796    418c70    407f80         0         1
       797    421c74    422138         0         1
       798    428c78    428ca0         0         1
       800    423c80    423c98         0         1
       801    418c84    418f80         0         1
       802    405c88    405b9c         0         1
       803    422c8c    422c9c         0         1
       804    406c90    406c40         1         1
       805    42bc94    42bc9c         0         1
       807    420c9c    421dc0         0         1
       808    42dca0    42b2f0         0         1
       809    421ca4    421f0c         0         1
       810    42bca8    4230ec         0         1
       811    42dcac    42dcd4         0         1
       812    403cb0    4206c0         0         1
       813    402cb4    402c80         1         1
       814    419cb8    4191a4         0         1
       815    416cbc    416cc8         0         1
       816    420cc0    420cc8         0         1
       818    422cc8    422cd8         0         1
       820    403cd0    421c10         0         1
       821    420cd4    422004         0         1
       824    416ce0    416d94         0         1
       825    422ce4    422cfc         0         1
       827    400cec    400200         0         1
       828    403cf0    421c10         0         1
       829    402cf4    402cc0         1         1
       830    422cf8    4228ac         0         1
       831    42dcfc    42defc         0         1
       832    420d00    420d10         0         1
       835    422d0c    422d14         0         1
       836    403d10    421c10         0         1
       837    42ad14    42dba0         0         1
       838    403d18    422260         0         1
       839    420d1c    420818         0         1
       840    422d20    421fd4         0         1
       843    400d2c    400200         0         1
       845    402d34    402d00         1         1
       846    420d38    420d50         0         1
